coef_SBS10c Status
X120117 0.214782743487029 Normal_trios
X126911 0.226806758239748 Normal_trios
X151360 0.189725985999185 Normal_trios
X75175 0.35653759485354 Normal_trios
X120570 0.214365642503734 Normal_trios
X131381 0.264245595818111 Normal_trios
X70975 0.297157235394411 Normal_trios
X34125 0.31527680318 Normal_trios
X146353 0.243830092115745 Normal_trios
X11299.s1 0.208812703726494 Normal_trios
X13373.p1 0.25048831963177 Normal_trios
X125664 0.263651838558326 Normal_trios
X13807.s1 0.214266299340355 Normal_trios
X12626.p1 0.31285911062565 Normal_trios
X14500.s1 0.270383531546841 Normal_trios
X63207 0.325367862924823 Normal_trios
X11121.s1 0.269437863587188 Normal_trios
X12879.p1 0.214881145926127 Normal_trios
X14186.s1 0.260214936888408 Normal_trios
X12271.s1 0.195948515666798 Normal_trios
X11724.p1 0.224027756104369 Normal_trios
X143817 0.257235777086748 Normal_trios
X12739.p1 0.213604140457419 Normal_trios
X13625.s1 0.30477751426538 Normal_trios
X126186 0.402224998651759 Normal_trios
X89325 0.387855941709535 Normal_trios
X141792 0.229463661766113 Normal_trios
X14110.p1 0.302338831661401 Normal_trios
X12334.p1 0.172551897136681 Normal_trios
X14339.s1 0.200574693849764 Normal_trios
X11435.s1 0.204435582129844 Normal_trios
X12676.p1 0.324393385265831 Normal_trios
X13618.s1 0.235213373560057 Normal_trios
X14292.p1 0.270182347984427 Normal_trios
X80752 0.191131646677619 Normal_trios
X12070.s1 0.25878016126802 Normal_trios
X13102.s1 0.31575010688601 Normal_trios
X14333.s1 0.175020914114777 Normal_trios
X30909 0.243478374183278 Normal_trios
X80010 0.239103261783445 Normal_trios
X14254.p1 0.22289883647708 Normal_trios
X12279.s1 0.209333685515563 Normal_trios
X667 0.190338487658818 Normal_trios
X12787.s1 0.233291675973905 Normal_trios
X54904 0.191280154302662 Normal_trios
X14290.p1 0.225292477278292 Normal_trios
X11206.s1 0.255614174994151 Normal_trios
X14037.s1 0.192726407452306 Normal_trios
X93990 0.200361959462961 Normal_trios
X80905 0.33841601850033 Normal_trios
X12573.s1 0.234371712334797 Normal_trios
X29981 0.248039186080129 Normal_trios
X55477 0.273753260086816 Normal_trios
X11193.s1 0.219099838296181 Normal_trios
X73943 0.290418518366558 Normal_trios
X64450 0.186018054383093 Normal_trios
X39561 0.295925830266865 Normal_trios
X121714 0.331196793740581 Normal_trios
X148979 0.19621080866072 Normal_trios
X153394 0.172078434264903 Normal_trios
X12779.s1 0.275192070620784 Normal_trios
X12021.p1 0.270266983605182 Normal_trios
X12457.s1 0.257581323919772 Normal_trios
X122863 0.19494410779734 Normal_trios
X14260.s1 0.286467206801882 Normal_trios
X13526.s1 0.315276634572163 Normal_trios
X3723 0.294754869772204 Normal_trios
X14210.p1 0.259463445765324 Normal_trios
X12460.s1 0.228113297360608 Normal_trios
X11010.s1 0.167775323570599 Normal_trios
X13296.s1 0.279926298587764 Normal_trios
X11404.s1 0.349401911312666 Normal_trios
X3886 0.182018730256645 Normal_trios
X142888 0.261690469919586 Normal_trios
X13332.s1 0.210132355798139 Normal_trios
X11350.p1 0.319007546977791 Normal_trios
X8489 0.19863033085687 Normal_trios
X13562.s1 0.180370418910607 Normal_trios
X11417.p1 0.236899011550191 Normal_trios
X13385.p1 0.299421520461625 Normal_trios
X12984.p1 0.207318747594105 Normal_trios
X44885 0.244518860185906 Normal_trios
X11276.s1 0.295717685113531 Normal_trios
X72288 0.219702503033402 Normal_trios
X14402.p1 0.296017366403074 Normal_trios
X11724.s1 0.221548153165839 Normal_trios
X11839.p1 0.487089151066359 Normal_trios
X21501 0.22990069448656 Normal_trios
X14037.p1 0.281418555669016 Normal_trios
X12550.s1 0.286706128797674 Normal_trios
X13016.p1 0.260846424347271 Normal_trios
X32514 0.365232277004113 Normal_trios
X12529.p1 0.274834341660204 Normal_trios
X38568 0.208398232443513 Normal_trios
X12359.p1 0.170448230458752 Normal_trios
X13746.p1 0.302296240971567 Normal_trios
X13889.p1 0.299830742031028 Normal_trios
X7638 0.193516650735311 Normal_trios
X11766.s1 0.280152737913281 Normal_trios
X13301.s1 0.28026737410469 Normal_trios
X57251 0.302898658735353 Normal_trios
X106627 0.201519268451509 Normal_trios
X14500.p1 0.295693324514539 Normal_trios
X14313.s1 0.316550405875802 Normal_trios
X132302 0.208814783194938 Normal_trios
X39931 0.236638116091481 Normal_trios
X12460.p1 0.236947955866875 Normal_trios
X13534.p1 0.238650096817926 Normal_trios
X12728.s1 0.215761801878226 Normal_trios
X47490 0.355951890057324 Normal_trios
X75870 0.169352247119383 Normal_trios
X109099 0.214845131401282 Normal_trios
X11458.p1 0.218364399273546 Normal_trios
X13905.p1 0.169188728756247 Normal_trios
X12764.s1 0.219128257965498 Normal_trios
X11563.p1 0.250700944927035 Normal_trios
X13870.s1 0.232602412590635 Normal_trios
X12618.s1 0.287094342251894 Normal_trios
X11348 0.298145615616579 Normal_trios
X55462 0.2448551396683 Normal_trios
X14253.s1 0.247845900345373 Normal_trios
X14358.p1 0.336072894356241 Normal_trios
X14557.s1 0.276843057416949 Normal_trios
X115679 0.265027498609571 Normal_trios
X78474 0.23532246524363 Normal_trios
X27572 0.338364651760064 Normal_trios
X13006.p1 0.180497393563525 Normal_trios
X91198 0.248949141640404 Normal_trios
X52291 0.245512522696485 Normal_trios
X12405.p1 0.312217456530314 Normal_trios
X61306 0.338810190530074 Normal_trios
X14660.p1 0.247404265996304 Normal_trios
X14660.s1 0.256702165311004 Normal_trios
X9165 0.230557815855319 Normal_trios
X79709 0.250838147369993 Normal_trios
X80320 0.42800786468293 Normal_trios
X13529.p1 0.231571607841306 Normal_trios
X20181 0.270322409598829 Normal_trios
X17637 0.33934373515721 Normal_trios
X112510 0.41219043161811 Normal_trios
X13733 0.3268001737143 Normal_trios
X151159 0.176471811119011 Normal_trios
X117882 0.349155186553659 Normal_trios
X108759 0.272809192835925 Normal_trios
X10327 0.275746406866651 Normal_trios
X13095.p1 0.187327398421678 Normal_trios
X132575 0.387591886601534 Normal_trios
X30330 0.347143754538087 Normal_trios
X28315 0.309708422581081 Normal_trios
X30471 0.22049141835299 Normal_trios
X14221.s1 0.328782108777015 Normal_trios
X13390.p1 0.263931799367211 Normal_trios
X12939.p1 0.231849338576966 Normal_trios
X12845.p1 0.275799623755526 Normal_trios
X46025 0.193617391111311 Normal_trios
X138593 0.18335677903775 Normal_trios
X13763.s1 0.347274252072549 Normal_trios
X4053 0.276749367121037 Normal_trios
X14168.s1 0.177628128645733 Normal_trios
X14025.s1 0.380364325305319 Normal_trios
X11412.p1 0.191122253822506 Normal_trios
X11037.s1 0.351648237144303 Normal_trios
X74707 0.323292936374152 Normal_trios
X53708 0.214274583286232 Normal_trios
X22252.s1 0.32789420117194 Normal_trios
X11364.s1 0.242711146229394 Normal_trios
X13417.p1 0.198317113318015 Normal_trios
X11804.p1 0.413004580149155 Normal_trios
X11057.s1 0.273392834996203 Normal_trios
X61856 0.404049512898461 Normal_trios
X25400 0.259919499772174 Normal_trios
X125595 0.303431735869345 Normal_trios
X102346 0.198396247860911 Normal_trios
X141757 0.25781929781059 Normal_trios
X12053.s1 0.277282366957228 Normal_trios
X14208.p1 0.297515080968029 Normal_trios
X95910 0.213995297910039 Normal_trios
X30219 0.228601353565549 Normal_trios
X49640 0.264687884200392 Normal_trios
X25742 0.301475001974587 Normal_trios
X38070 0.196675147068002 Normal_trios
X64700 0.182071983471241 Normal_trios
X48255 0.170997423187289 Normal_trios
X12225.s1 0.198226334949764 Normal_trios
X26413 0.257709433942916 Normal_trios
X21533 0.239867142256809 Normal_trios
X12974.p1 0.200753287698904 Normal_trios
X45716 0.308833431876902 Normal_trios
X14402.s1 0.185776252704731 Normal_trios
X93974 0.236661268550917 Normal_trios
X129650 0.180351222727266 Normal_trios
X11869.s1 0.358914435399935 Normal_trios
X11471.s1 0.254496114989693 Normal_trios
X66963 0.195321042887403 Normal_trios
X14582.s1 0.249834563669208 Normal_trios
X58148 0.223639162034446 Normal_trios
X12221.s1 0.298831763899703 Normal_trios
X83375 0.185962293612752 Normal_trios
X14686.p1 0.184828600853807 Normal_trios
X13069.s1 0.323319954040168 Normal_trios
X46468 0.226669451765567 Normal_trios
X93529 0.210375953133264 Normal_trios
X13879.p1 0.257087882538294 Normal_trios
X12743.p1 0.296136313511486 Normal_trios
X32292 0.303859033907401 Normal_trios
X122290 0.253328638702314 Normal_trios
X13168.s1 0.169035809421236 Normal_trios
X81360 0.221831351414828 Normal_trios
X13570.p1 0.232085571477727 Normal_trios
X11376.s1 0.178491611287934 Normal_trios
X11225.s1 0.174152890191849 Normal_trios
X43621 0.273128313333145 Normal_trios
X152042 0.267077512459759 Normal_trios
X14590.s1 0.219980513337791 Normal_trios
X11919.s1 0.197615926698174 Normal_trios
X13096.p1 0.282933597321454 Normal_trios
X14101.p1 0.204801815454049 Normal_trios
X11694.p1 0.242068503643454 Normal_trios
X87171 0.225383920115857 Normal_trios
X14375.s1 0.296946930773352 Normal_trios
X12197.s1 0.202831405976542 Normal_trios
X94281 0.329551525012144 Normal_trios
X13322.s1 0.17244859685243 Normal_trios
X55852 0.273262093412164 Normal_trios
X11164.p1 0.293855295380698 Normal_trios
X14592.p1 0.511122081679842 Normal_trios
X81459 0.217560601289495 Normal_trios
X14042.p1 0.303066770055674 Normal_trios
X14645.s1 0.20343432619951 Normal_trios
X12021.s1 0.22216077258602 Normal_trios
X64417 0.209421854944849 Normal_trios
X13764.p1 0.31085609381848 Normal_trios
X14195.p1 0.271699549023575 Normal_trios
X12940.s1 0.231142213986772 Normal_trios
X13336.s1 0.245900750772083 Normal_trios
X14685.p1 0.221694531685987 Normal_trios
X12657.s1 0.19839938994761 Normal_trios
X12396.p1 0.245864979684167 Normal_trios
X77577 0.192648376541277 Normal_trios
X152926 0.213284841633606 Normal_trios
X13730.s1 0.252346661076795 Normal_trios
X65735 0.276253278514197 Normal_trios
X11413.s1 0.240345515122991 Normal_trios
X14359.s1 0.219654079254684 Normal_trios
X14595.s1 0.224395372431267 Normal_trios
X14692.p1 0.180372983826753 Normal_trios
X33954 0.282710941257892 Normal_trios
X13191 0.250979481158419 Normal_trios
X36222 0.23812037814433 Normal_trios
X122778 0.397604908866015 Normal_trios
X13061.s1 0.353535930708074 Normal_trios
X14592.s1 0.279297208391876 Normal_trios
X54247 0.180307274397096 Normal_trios
X14179.p1 0.319103269438715 Normal_trios
X14548.s1 0.209878254005865 Normal_trios
X12478.p1 0.402384218311021 Normal_trios
X75070 0.311617523321525 Normal_trios
X31770 0.24628641964742 Normal_trios
X13644.s1 0.225901913604553 Normal_trios
X11256.p1 0.417775503231784 Normal_trios
X149735 0.191200929332675 Normal_trios
X139512 0.306994112393961 Normal_trios
X13592.p1 0.325591019662233 Normal_trios
X9336 0.3217542391437 Normal_trios
X11622.p1 0.3408627542557 Normal_trios
X14484.s1 0.328511449954113 Normal_trios
X12010.p1 0.499458250407655 Normal_trios
X13066.s1 0.273996278842669 Normal_trios
X12817.s1 0.32224011766511 Normal_trios
X85911 0.19412073715552 Normal_trios
X14492.s1 0.191332852030374 Normal_trios
X13634.s1 0.346449021433671 Normal_trios
X133080 0.284398908950845 Normal_trios
X85117 0.238443053613407 Normal_trios
X13373.s1 0.215884766273396 Normal_trios
X14070.p1 0.24096410532511 Normal_trios
X39263 0.205677909128651 Normal_trios
X14006.s1 0.233163679576397 Normal_trios
X12716.s1 0.299672346019114 Normal_trios
X128162 0.182774320921208 Normal_trios
X13064.s1 0.299727268535411 Normal_trios
X14134.s1 0.201411495047861 Normal_trios
X13738.p1 0.162986196088779 Normal_trios
X126148 0.225730152372463 Normal_trios
X12373.s1 0.173080802743368 Normal_trios
X22106.s1 0.192336264024149 Normal_trios
X14613.p1 0.314357942056853 Normal_trios
X14151.s1 0.27266825546262 Normal_trios
X69398 0.27926149699136 Normal_trios
X106982 0.206375649372537 Normal_trios
X117135 0.198883583890458 Normal_trios
X4526 0.223065396955858 Normal_trios
X11872.s1 0.238379615516475 Normal_trios
X13346.p1 0.292941439200476 Normal_trios
X11838.p1 0.193660814698964 Normal_trios
X14237.s1 0.22055717465534 Normal_trios
X13443.s1 0.219984785596241 Normal_trios
X14497.s1 0.220589518828461 Normal_trios
X14070.s1 0.249872293292801 Normal_trios
X14026.s1 0.2508711223518 Normal_trios
X14410.p1 0.223084942597744 Normal_trios
X13746.s1 0.333171163823853 Normal_trios
X14233.p1 0.176327693166551 Normal_trios
X63103 0.194426137585761 Normal_trios
X119874 0.169404945333095 Normal_trios
X12692 0.30869078340274 Normal_trios
