PC1 PC2 PC3 PC4 PC5 PC6
120117 -0.278143310360443 0.118387212970966 -0.0158641468805619 -0.0227550713782174 0.0820365550054359 -0.0684172225542553
126911 0.183333912403167 -0.0687027317462348 -0.11152976904863 -0.168215939157529 -0.0149181525939942 -0.140336803355205
151360 0.35990185391489 0.0455871812904564 0.17568671874545 -0.0961455345159015 0.105140682503607 0.106997224253866
75175 0.0678600356091257 -0.183258985803849 -0.139997188096663 -0.0543953343412356 0.0656729124307967 0.0393155004566336
120570 0.261983915931708 0.163089941020373 0.294515566152396 -0.152034341057321 -0.200807449912285 0.201882280212577
131381 0.0892322047208026 4.22573233328313e-05 -0.127108000608416 0.0171775175233231 0.0240795099343815 -0.0212067628832501
70975 0.211675701153125 -0.171730676967875 -0.159744922198078 -0.128488673855812 0.256672400000714 -0.151307541709248
34125 0.156901798869128 0.215756448482998 0.113733139194809 0.053141077098812 0.0562853113825223 0.00932869050980426
146353 0.250330213867527 0.164192878125359 -0.139811418345428 -0.120804959258059 -0.209687092969181 -0.235642008402546
11299.s1 0.218655912395296 -0.159235977107745 -0.0673973806631183 -0.0165911753726026 -0.0377404971111919 0.0506043129896507
13373.p1 0.261607581200603 0.177994375025264 0.291048060487203 0.0199598022075444 -0.149815701059806 0.0573390529047381
125664 -0.0488943236232106 -0.0106751361815067 0.147680451678106 -0.0420777391048557 0.00359577860571464 -0.0402603184363759
13807.s1 0.288232002549155 -0.075024238648809 0.0566752589199428 -0.00230191068682495 -0.306948156718633 -0.0485966078860927
12626.p1 0.111978634452101 -0.126254314603376 -0.101728095805874 -0.203322807553992 0.00846726227046412 -0.051228949787829
14500.s1 -0.118074562733556 0.148734490790794 0.131506388911185 -0.13946100464878 -0.00790279394724312 -0.0240090343964363
63207 -0.00336127565110064 0.000855397961452941 0.090597409618526 0.0632061765516674 0.00480308500002014 0.0275469979180462
11121.s1 0.188934366954121 0.0136353758097602 0.108871203243413 0.0069891750067318 0.0502355178399921 -0.0298676725762617
12879.p1 0.177686723622135 -0.150439109023986 0.052046043151157 -0.0691434629376189 -0.090084405267884 -0.190625861505596
14186.s1 0.0899302273090877 -0.00688168180191854 0.0788370082905869 -0.0968902892434075 -0.133054151983244 -0.133011668494721
12271.s1 0.359356181947284 0.0073936375253987 0.114081605240577 -0.209031312487093 -0.0333599592675057 -0.150247376781045
11724.p1 0.0621797534048112 0.0133223074527531 0.319862148784483 -0.0769509741193416 -0.0202036685644017 -0.0657690571238623
143817 0.363028157828582 0.0378950679445074 -0.0605775680688136 -0.0273492270280662 0.0686510811861008 -0.10835222428009
12739.p1 0.15833932401584 -0.00701482382742326 0.00636184576924585 -0.0921365183237099 -0.106832526091586 -0.0982968154960326
13625.s1 0.23254192731606 -0.0476909139395152 0.30098413326261 0.0100792184515016 -0.0669506589619091 0.0223861040131787
126186 -0.204794791649465 -0.0101208551121374 0.0738829594272365 0.121328720664319 0.0405798344122965 -0.0866280747876763
89325 -0.0532999628306139 0.0230375258188813 -0.0275370318688927 -0.189995793121105 0.0936062584310464 -0.111611312955594
141792 0.378419481967412 -0.0121279321610248 0.024916092132871 -0.217718850498366 -0.168991648970024 -0.0308863955039167
14110.p1 0.120420475556112 -0.00992638048289736 -0.0497684424653421 -0.140600770742622 -0.0375494838324219 0.0712008570644745
12334.p1 0.176696321201966 0.0363965301480674 0.0099760395937944 -0.345468649617342 -0.27833872566058 -0.0219764325226606
14339.s1 0.173979374340345 -0.183581399390158 -0.00603217594913081 0.0919457036883822 -0.0308178646049767 -0.255129881283104
11435.s1 0.108710520474939 -0.259000708977646 0.127142546375811 0.00571627087247729 -0.202569153690595 -0.22222219852518
12676.p1 0.114525726811593 0.21129205965721 0.154142493817672 -0.0642748411458434 -0.12970025035805 -0.081509069523852
13618.s1 0.235486632650346 -0.0379382393814458 0.312599404091109 0.281497681386143 0.0844657833047089 -0.350051228406494
14292.p1 0.21208884061506 -0.120917691663524 0.164057746457013 0.0397090497401211 -0.158068272485193 -0.0375070537084895
80752 0.369309160463656 0.0915564396400755 0.156063987844797 -0.127273910031535 -0.218691289083684 0.0847701883580048
12070.s1 0.274966692239296 -0.0599523621780981 0.0534409279215607 0.0180849503987538 -0.0261943974197218 -0.15034439761757
13102.s1 0.164433430967732 -0.140890141962753 0.208411079701347 -0.179724367691816 -0.0187860267599028 -0.119246335757235
14333.s1 0.296480164995043 0.218938944528407 0.178335065612377 -0.307647001775094 0.0534430179296179 -0.0487521846855732
30909 0.205005723505364 -0.114078780521743 -0.0403012075094811 0.00446540323044547 0.15274072972022 -0.05821718512566
80010 0.155576591914055 -0.0954207897753231 -0.0866783822854092 0.0121288711284654 0.0264833094607677 -0.167220179471319
14254.p1 0.283350235790075 0.103155392135729 -0.0449438610072909 -0.216254265270411 -0.248019903010533 -0.00758367753397424
12279.s1 0.36422337833904 0.109300457319004 0.113523303498442 -0.126275138238034 -0.0467852041092657 -0.197339108328797
667 0.5015112392923 -0.306688985737323 -0.150256209856403 -0.262904581261782 0.0100818707583771 -0.568425936010747
12787.s1 0.151708763198046 -0.239337698132546 0.0277203241800524 -0.0801386064125577 -0.00279019065810352 0.0738174386659225
54904 0.260117230612798 0.185632484229517 0.0909196908995955 0.160737615041348 0.0944888799542421 -0.187784328404822
14290.p1 0.405403016172539 0.266338573121417 0.0712902911121185 -0.232510999319175 -0.0605554714460827 -0.0773167967333855
11206.s1 0.158107656706513 0.102544454469903 -0.181357307147317 0.0812769921011727 -0.101016274919541 -0.14753299891622
14037.s1 0.190068459504172 -0.155062736777424 0.0198981992738922 0.0642164412396908 -0.292201142761801 -0.172096607490561
93990 0.488025626862838 -0.0675587090676919 0.15983103551326 0.150265281465809 0.0810854970488984 0.0579714694116101
80905 -0.011104076594832 0.0952190906849162 -0.0444069788707808 -0.170423290579194 0.0509521172939413 -0.187877782866071
12573.s1 0.206125830273753 0.121036477378803 0.04089089316172 0.0857532089356573 -0.0864193527938929 -0.164737331874076
29981 0.11062996528204 -0.0173376579181279 -0.0628304431000001 -0.156311536704175 -0.300939309801281 0.0118828508996597
55477 0.197072363151375 0.119215907487264 0.209601501640169 -0.115531601357711 -0.00795213147698213 -0.0609240211310837
11193.s1 0.216249512793334 0.114093752756352 -0.176738546531964 0.0523128461548224 -0.0361721734793007 -0.130995599582391
73943 -0.072767947092681 -0.0580871307855421 0.108995134555717 0.029587480253038 0.131167858660749 -0.0998536678280934
64450 0.31116279981612 0.00199459937287956 0.199473288981637 0.198492621704721 0.0958594702068284 -0.298026093407786
39561 0.144865862904301 -0.161348410611615 0.0275488528601469 0.0983726846698946 -0.125788332832216 -0.154333104225127
121714 -0.444279867845967 0.155391793405105 -0.0705824461126011 -0.24392138193118 -0.150099653121448 -0.191163557437752
148979 0.103000647023063 0.0679214010332105 -0.151055858285067 0.03613577475739 -0.232580548426738 0.190387119552681
153394 0.47437321339649 -0.22654805192989 -0.110366539958705 -0.107827362267231 -0.0210007342731853 -0.0390280421674316
12779.s1 0.070813543584615 -0.0266752789872797 -0.155249524972695 -0.0504626613682947 -0.15739515086269 -0.12140015835398
12021.p1 0.122271212458986 -0.0955514800789866 0.052927989159149 0.0675598846341827 -0.0899040026061777 -0.0917769786790106
12457.s1 0.193970121195103 0.143945334299333 0.249421847144777 -0.111857968112774 -0.101477148605534 -0.0180530305553162
122863 0.225163735759387 0.0666737671165678 -0.00445616513024338 0.0326805287179584 -0.08310833842849 -0.281185318455952
14260.s1 -0.213109093196884 0.0719074298164092 0.207098090014692 0.0577680415115421 -0.239762973683998 0.106960423514553
13526.s1 -0.0441741732704393 0.038413503075888 0.271340865074437 -0.0196779509503553 0.26324077250769 0.107607984319049
3723 0.262024026810486 -0.252279221685199 0.127403353436314 -0.0298590863804836 0.14438673801598 -0.181414314352619
14210.p1 0.237116015145387 -0.0661984216700938 -0.117798178992673 -0.11671504102042 -0.0628569033127773 -0.0867577854923445
